[2025-04-08 00:47:09] PRODUÇÃO - ID: 3, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira: 0
[2025-04-08 00:47:09] PRODUÇÃO - ID: 2, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira: 1
[2025-04-08 00:47:09] PRODUÇÃO - ID: 4, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira: 2
[2025-04-08 00:47:09] PRODUÇÃO - ID: 5, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira: 3
[2025-04-08 00:47:09] PRODUÇÃO - ID: 1, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira: 4
[2025-04-08 00:47:09] PRODUÇÃO - ID: 8, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira: 5
[2025-04-08 00:47:09] PRODUÇÃO - ID: 6, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira: 6
[2025-04-08 00:47:09] PRODUÇÃO - ID: 7, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira: 7
[2025-04-08 00:47:11] PRODUÇÃO - ID: 9, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira: 8
[2025-04-08 00:47:11] PRODUÇÃO - ID: 11, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira: 9
[2025-04-08 00:47:11] PRODUÇÃO - ID: 10, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira: 10
[2025-04-08 00:47:11] PRODUÇÃO - ID: 14, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira: 11
[2025-04-08 00:47:11] PRODUÇÃO - ID: 15, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira: 12
[2025-04-08 00:47:11] PRODUÇÃO - ID: 16, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira: 13
[2025-04-08 00:47:11] PRODUÇÃO - ID: 12, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 3, Posição Esteira: 14
[2025-04-08 00:47:11] PRODUÇÃO - ID: 13, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira: 15
[2025-04-08 00:47:13] PRODUÇÃO - ID: 17, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira: 16
[2025-04-08 00:47:13] PRODUÇÃO - ID: 20, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira: 17
[2025-04-08 00:47:13] PRODUÇÃO - ID: 19, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira: 18
[2025-04-08 00:47:13] PRODUÇÃO - ID: 18, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira: 19
[2025-04-08 00:47:13] PRODUÇÃO - ID: 21, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira: 20
[2025-04-08 00:47:13] PRODUÇÃO - ID: 22, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira: 21
[2025-04-08 00:47:13] PRODUÇÃO - ID: 23, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira: 22
[2025-04-08 00:47:13] PRODUÇÃO - ID: 24, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira: 23
[2025-04-08 00:47:15] PRODUÇÃO - ID: 25, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira: 24
[2025-04-08 00:47:15] PRODUÇÃO - ID: 27, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira: 25
[2025-04-08 00:47:15] PRODUÇÃO - ID: 26, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira: 26
[2025-04-08 00:47:15] PRODUÇÃO - ID: 28, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 3, Posição Esteira: 27
[2025-04-08 00:47:15] PRODUÇÃO - ID: 30, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira: 28
[2025-04-08 00:47:15] PRODUÇÃO - ID: 31, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira: 29
[2025-04-08 00:47:15] PRODUÇÃO - ID: 29, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira: 30
[2025-04-08 00:47:15] PRODUÇÃO - ID: 32, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira: 31
[2025-04-08 00:47:17] PRODUÇÃO - ID: 34, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira: 32
[2025-04-08 00:47:17] PRODUÇÃO - ID: 33, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira: 33
[2025-04-08 00:47:17] PRODUÇÃO - ID: 35, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira: 34
[2025-04-08 00:47:17] PRODUÇÃO - ID: 36, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira: 35
[2025-04-08 00:47:17] PRODUÇÃO - ID: 37, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira: 36
[2025-04-08 00:47:17] PRODUÇÃO - ID: 39, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira: 37
[2025-04-08 00:47:17] PRODUÇÃO - ID: 38, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira: 38
[2025-04-08 00:47:17] PRODUÇÃO - ID: 40, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 3, Posição Esteira: 39
[2025-04-08 00:47:19] PRODUÇÃO - ID: 42, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira: 0
