[2025-04-08 00:47:09] VENDA FÁBRICA - ID: 3, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 0, Loja: 0, Posição Esteira Loja: 0
[2025-04-08 00:47:09] VENDA FÁBRICA - ID: 2, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 1, Loja: 1, Posição Esteira Loja: 0
[2025-04-08 00:47:09] VENDA FÁBRICA - ID: 4, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 2, Loja: 2, Posição Esteira Loja: 0
[2025-04-08 00:47:10] VENDA FÁBRICA - ID: 5, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 3, Loja: 0, Posição Esteira Loja: 1
[2025-04-08 00:47:10] VENDA FÁBRICA - ID: 1, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 4, Loja: 2, Posição Esteira Loja: 1
[2025-04-08 00:47:10] VENDA FÁBRICA - ID: 8, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 5, Loja: 1, Posição Esteira Loja: 1
[2025-04-08 00:47:10] VENDA FÁBRICA - ID: 6, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 6, Loja: 0, Posição Esteira Loja: 2
[2025-04-08 00:47:10] VENDA FÁBRICA - ID: 7, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 7, Loja: 2, Posição Esteira Loja: 2
[2025-04-08 00:47:11] VENDA FÁBRICA - ID: 9, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 8, Loja: 1, Posição Esteira Loja: 2
[2025-04-08 00:47:11] VENDA FÁBRICA - ID: 11, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 9, Loja: 0, Posição Esteira Loja: 3
[2025-04-08 00:47:11] VENDA FÁBRICA - ID: 10, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 10, Loja: 2, Posição Esteira Loja: 3
[2025-04-08 00:47:12] VENDA FÁBRICA - ID: 14, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 11, Loja: 0, Posição Esteira Loja: 4
[2025-04-08 00:47:12] VENDA FÁBRICA - ID: 15, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 12, Loja: 1, Posição Esteira Loja: 3
