[2025-04-08 00:47:09] VENDA LOJA 0 - ID: 3, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 0, Cliente: 10
[2025-04-08 00:47:10] VENDA LOJA 0 - ID: 5, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 1, Cliente: 14
[2025-04-08 00:47:10] VENDA LOJA 0 - ID: 6, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira Loja: 2, Cliente: 7
[2025-04-08 00:47:11] VENDA LOJA 0 - ID: 11, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 3, Cliente: 0
[2025-04-08 00:47:12] VENDA LOJA 0 - ID: 14, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira Loja: 4, Cliente: 6
[2025-04-08 00:47:12] VENDA LOJA 0 - ID: 12, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 3, Posição Esteira Loja: 5, Cliente: 12
[2025-04-08 00:47:13] VENDA LOJA 0 - ID: 19, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Loja: 6, Cliente: 19
[2025-04-08 00:47:14] VENDA LOJA 0 - ID: 22, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 7, Cliente: 15
[2025-04-08 00:47:15] VENDA LOJA 0 - ID: 25, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Loja: 8, Cliente: 16
[2025-04-08 00:47:16] VENDA LOJA 0 - ID: 28, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 3, Posição Esteira Loja: 9, Cliente: 0
[2025-04-08 00:47:16] VENDA LOJA 0 - ID: 31, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Loja: 10, Cliente: 2
[2025-04-08 00:47:17] VENDA LOJA 0 - ID: 33, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 11, Cliente: 8
[2025-04-08 00:47:18] VENDA LOJA 0 - ID: 37, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Loja: 12, Cliente: 10
[2025-04-08 00:47:19] VENDA LOJA 0 - ID: 40, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 3, Posição Esteira Loja: 13, Cliente: 5
[2025-04-08 00:47:20] VENDA LOJA 0 - ID: 43, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Loja: 14, Cliente: 11
[2025-04-08 00:47:21] VENDA LOJA 0 - ID: 46, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Loja: 15, Cliente: 18
[2025-04-08 00:47:21] VENDA LOJA 0 - ID: 49, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 16, Cliente: 4
[2025-04-08 00:47:22] VENDA LOJA 0 - ID: 51, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Loja: 17, Cliente: 0
[2025-04-08 00:47:23] VENDA LOJA 0 - ID: 55, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 18, Cliente: 14
[2025-04-08 00:47:24] VENDA LOJA 0 - ID: 58, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 3, Posição Esteira Loja: 19, Cliente: 16
