[2025-04-08 00:47:09] RECEBIMENTO LOJA 1 - ID: 2, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Loja: 0
[2025-04-08 00:47:10] RECEBIMENTO LOJA 1 - ID: 8, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Loja: 1
[2025-04-08 00:47:11] RECEBIMENTO LOJA 1 - ID: 9, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Loja: 2
[2025-04-08 00:47:12] RECEBIMENTO LOJA 1 - ID: 15, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Loja: 3
[2025-04-08 00:47:13] RECEBIMENTO LOJA 1 - ID: 13, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 4
[2025-04-08 00:47:13] RECEBIMENTO LOJA 1 - ID: 20, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 5
[2025-04-08 00:47:14] RECEBIMENTO LOJA 1 - ID: 21, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 6
[2025-04-08 00:47:15] RECEBIMENTO LOJA 1 - ID: 24, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 7
[2025-04-08 00:47:16] RECEBIMENTO LOJA 1 - ID: 26, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Loja: 8
[2025-04-08 00:47:17] RECEBIMENTO LOJA 1 - ID: 29, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 9
[2025-04-08 00:47:17] RECEBIMENTO LOJA 1 - ID: 34, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 10
[2025-04-08 00:47:18] RECEBIMENTO LOJA 1 - ID: 36, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Loja: 11
[2025-04-08 00:47:19] RECEBIMENTO LOJA 1 - ID: 38, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira Loja: 12
[2025-04-08 00:47:19] RECEBIMENTO LOJA 1 - ID: 41, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Loja: 13
[2025-04-08 00:47:20] RECEBIMENTO LOJA 1 - ID: 47, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 14
[2025-04-08 00:47:21] RECEBIMENTO LOJA 1 - ID: 48, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 4, Posição Esteira Loja: 15
[2025-04-08 00:47:22] RECEBIMENTO LOJA 1 - ID: 52, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 0, Posição Esteira Loja: 16
[2025-04-08 00:47:22] RECEBIMENTO LOJA 1 - ID: 54, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Loja: 17
[2025-04-08 00:47:23] RECEBIMENTO LOJA 1 - ID: 56, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira Loja: 18
[2025-04-08 00:47:24] RECEBIMENTO LOJA 1 - ID: 60, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Loja: 19
