[2025-04-08 00:47:09] RECEBIMENTO LOJA 2 - ID: 4, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 0
[2025-04-08 00:47:10] RECEBIMENTO LOJA 2 - ID: 1, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Loja: 1
[2025-04-08 00:47:10] RECEBIMENTO LOJA 2 - ID: 7, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Loja: 2
[2025-04-08 00:47:11] RECEBIMENTO LOJA 2 - ID: 10, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Loja: 3
[2025-04-08 00:47:12] RECEBIMENTO LOJA 2 - ID: 16, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Loja: 4
[2025-04-08 00:47:13] RECEBIMENTO LOJA 2 - ID: 17, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira Loja: 5
[2025-04-08 00:47:14] RECEBIMENTO LOJA 2 - ID: 18, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Loja: 6
[2025-04-08 00:47:14] RECEBIMENTO LOJA 2 - ID: 23, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Loja: 7
[2025-04-08 00:47:15] RECEBIMENTO LOJA 2 - ID: 27, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Loja: 8
[2025-04-08 00:47:16] RECEBIMENTO LOJA 2 - ID: 30, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Loja: 9
[2025-04-08 00:47:17] RECEBIMENTO LOJA 2 - ID: 32, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Loja: 10
[2025-04-08 00:47:18] RECEBIMENTO LOJA 2 - ID: 35, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Loja: 11
[2025-04-08 00:47:18] RECEBIMENTO LOJA 2 - ID: 39, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Loja: 12
[2025-04-08 00:47:19] RECEBIMENTO LOJA 2 - ID: 42, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 13
[2025-04-08 00:47:20] RECEBIMENTO LOJA 2 - ID: 44, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Loja: 14
[2025-04-08 00:47:21] RECEBIMENTO LOJA 2 - ID: 45, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 15
[2025-04-08 00:47:22] RECEBIMENTO LOJA 2 - ID: 50, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Loja: 16
[2025-04-08 00:47:22] RECEBIMENTO LOJA 2 - ID: 53, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 3, Posição Esteira Loja: 17
[2025-04-08 00:47:23] RECEBIMENTO LOJA 2 - ID: 57, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Loja: 18
[2025-04-08 00:47:24] RECEBIMENTO LOJA 2 - ID: 59, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 1, Posição Esteira Loja: 19
[2025-04-08 00:47:25] RECEBIMENTO LOJA 2 - ID: 64, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 1, Posição Esteira Loja: 20
[2025-04-08 00:47:26] RECEBIMENTO LOJA 2 - ID: 67, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 3, Posição Esteira Loja: 21
[2025-04-08 00:47:27] RECEBIMENTO LOJA 2 - ID: 69, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Loja: 22
[2025-04-08 00:47:28] RECEBIMENTO LOJA 2 - ID: 71, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Loja: 23
[2025-04-08 00:47:28] RECEBIMENTO LOJA 2 - ID: 75, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 24
[2025-04-08 00:47:29] RECEBIMENTO LOJA 2 - ID: 78, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Loja: 25
[2025-04-08 00:47:30] RECEBIMENTO LOJA 2 - ID: 79, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Loja: 26
[2025-04-08 00:47:30] RECEBIMENTO LOJA 2 - ID: 84, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 27
[2025-04-08 00:47:31] RECEBIMENTO LOJA 2 - ID: 87, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 28
[2025-04-08 00:47:32] RECEBIMENTO LOJA 2 - ID: 89, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Loja: 29
[2025-04-08 00:47:33] RECEBIMENTO LOJA 2 - ID: 94, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 30
[2025-04-08 00:47:33] RECEBIMENTO LOJA 2 - ID: 96, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 31
[2025-04-08 00:47:34] RECEBIMENTO LOJA 2 - ID: 98, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 32
[2025-04-08 00:47:35] RECEBIMENTO LOJA 2 - ID: 101, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Loja: 33
[2025-04-08 00:47:36] RECEBIMENTO LOJA 2 - ID: 105, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Loja: 34
[2025-04-08 00:47:37] RECEBIMENTO LOJA 2 - ID: 108, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Loja: 35
[2025-04-08 00:47:37] RECEBIMENTO LOJA 2 - ID: 111, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Loja: 36
[2025-04-08 00:47:38] RECEBIMENTO LOJA 2 - ID: 115, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 2, Posição Esteira Loja: 37
