[2025-04-08 00:47:09] VENDA LOJA 2 - ID: 4, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 0, Cliente: 17
[2025-04-08 00:47:10] VENDA LOJA 2 - ID: 1, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Loja: 1, Cliente: 2
[2025-04-08 00:47:10] VENDA LOJA 2 - ID: 7, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Loja: 2, Cliente: 1
[2025-04-08 00:47:11] VENDA LOJA 2 - ID: 10, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Loja: 3, Cliente: 13
[2025-04-08 00:47:12] VENDA LOJA 2 - ID: 16, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Loja: 4, Cliente: 5
[2025-04-08 00:47:13] VENDA LOJA 2 - ID: 17, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 1, Posição Esteira Loja: 5, Cliente: 11
[2025-04-08 00:47:14] VENDA LOJA 2 - ID: 18, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Loja: 6, Cliente: 4
[2025-04-08 00:47:14] VENDA LOJA 2 - ID: 23, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Loja: 7, Cliente: 18
[2025-04-08 00:47:15] VENDA LOJA 2 - ID: 27, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Loja: 8, Cliente: 13
[2025-04-08 00:47:16] VENDA LOJA 2 - ID: 30, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Loja: 9, Cliente: 3
[2025-04-08 00:47:17] VENDA LOJA 2 - ID: 32, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Loja: 10, Cliente: 10
[2025-04-08 00:47:18] VENDA LOJA 2 - ID: 35, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Loja: 11, Cliente: 17
[2025-04-08 00:47:18] VENDA LOJA 2 - ID: 39, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Loja: 12, Cliente: 15
[2025-04-08 00:47:19] VENDA LOJA 2 - ID: 42, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 13, Cliente: 2
[2025-04-08 00:47:20] VENDA LOJA 2 - ID: 44, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Loja: 14, Cliente: 14
[2025-04-08 00:47:21] VENDA LOJA 2 - ID: 45, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 15, Cliente: 12
[2025-04-08 00:47:22] VENDA LOJA 2 - ID: 50, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Loja: 16, Cliente: 7
[2025-04-08 00:47:22] VENDA LOJA 2 - ID: 53, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 3, Posição Esteira Loja: 17, Cliente: 19
[2025-04-08 00:47:23] VENDA LOJA 2 - ID: 57, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Loja: 18, Cliente: 9
[2025-04-08 00:47:24] VENDA LOJA 2 - ID: 59, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 1, Posição Esteira Loja: 19, Cliente: 3
[2025-04-08 00:47:25] VENDA LOJA 2 - ID: 64, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 1, Posição Esteira Loja: 20, Cliente: 2
[2025-04-08 00:47:26] VENDA LOJA 2 - ID: 67, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 3, Posição Esteira Loja: 21, Cliente: 15
[2025-04-08 00:47:27] VENDA LOJA 2 - ID: 69, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Loja: 22, Cliente: 3
[2025-04-08 00:47:28] VENDA LOJA 2 - ID: 71, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Loja: 23, Cliente: 7
[2025-04-08 00:47:28] VENDA LOJA 2 - ID: 75, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 24, Cliente: 15
[2025-04-08 00:47:29] VENDA LOJA 2 - ID: 78, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Loja: 25, Cliente: 18
[2025-04-08 00:47:30] VENDA LOJA 2 - ID: 79, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Loja: 26, Cliente: 5
[2025-04-08 00:47:30] VENDA LOJA 2 - ID: 84, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 27, Cliente: 17
[2025-04-08 00:47:31] VENDA LOJA 2 - ID: 87, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 28, Cliente: 19
[2025-04-08 00:47:32] VENDA LOJA 2 - ID: 89, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 2, Posição Esteira Loja: 29, Cliente: 0
[2025-04-08 00:47:33] VENDA LOJA 2 - ID: 94, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 30, Cliente: 1
[2025-04-08 00:47:33] VENDA LOJA 2 - ID: 96, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 31, Cliente: 9
[2025-04-08 00:47:34] VENDA LOJA 2 - ID: 98, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 32, Cliente: 2
[2025-04-08 00:47:35] VENDA LOJA 2 - ID: 101, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Loja: 33, Cliente: 11
[2025-04-08 00:47:36] VENDA LOJA 2 - ID: 105, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Loja: 34, Cliente: 18
[2025-04-08 00:47:37] VENDA LOJA 2 - ID: 108, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Loja: 35, Cliente: 1
