[2025-04-07 13:51:02] VENDA FÁBRICA - ID: 8, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Fábrica: 0, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:02] VENDA FÁBRICA - ID: 3, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 1, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:02] VENDA FÁBRICA - ID: 7, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 2, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:03] VENDA FÁBRICA - ID: 4, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 3, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:03] VENDA FÁBRICA - ID: 2, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 4, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:03] VENDA FÁBRICA - ID: 5, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 5, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:03] VENDA FÁBRICA - ID: 1, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 6, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:04] VENDA FÁBRICA - ID: 6, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 7, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:04] VENDA FÁBRICA - ID: 13, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Fábrica: 8, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:04] VENDA FÁBRICA - ID: 12, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Fábrica: 9, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:04] VENDA FÁBRICA - ID: 16, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Fábrica: 10, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:05] VENDA FÁBRICA - ID: 14, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Fábrica: 11, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:05] VENDA FÁBRICA - ID: 10, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Fábrica: 12, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:05] VENDA FÁBRICA - ID: 11, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Fábrica: 13, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:05] VENDA FÁBRICA - ID: 9, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Fábrica: 14, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:06] VENDA FÁBRICA - ID: 15, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Fábrica: 15, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:06] VENDA FÁBRICA - ID: 17, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Fábrica: 16, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:06] VENDA FÁBRICA - ID: 18, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Fábrica: 17, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:07] VENDA FÁBRICA - ID: 19, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Fábrica: 18, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:07] VENDA FÁBRICA - ID: 20, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 4, Posição Esteira Fábrica: 19, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:07] VENDA FÁBRICA - ID: 24, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Fábrica: 20, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:07] VENDA FÁBRICA - ID: 21, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Fábrica: 21, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:07] VENDA FÁBRICA - ID: 22, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 2, Posição Esteira Fábrica: 22, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:08] VENDA FÁBRICA - ID: 23, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Fábrica: 23, Loja: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:08] VENDA FÁBRICA - ID: 25, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Fábrica: 24, Loja: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:08] VENDA FÁBRICA - ID: 26, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Fábrica: 25, Loja: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:09] VENDA FÁBRICA - ID: 28, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Fábrica: 26, Loja: 2, Posição Esteira Loja: 0
