[2025-04-07 13:51:02] RECEBIMENTO LOJA 0 - ID: 8, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:03] RECEBIMENTO LOJA 0 - ID: 2, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Loja: 1
[2025-04-07 13:51:04] RECEBIMENTO LOJA 0 - ID: 6, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Loja: 2
[2025-04-07 13:51:04] RECEBIMENTO LOJA 0 - ID: 16, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 3
[2025-04-07 13:51:05] RECEBIMENTO LOJA 0 - ID: 11, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 4
[2025-04-07 13:51:06] RECEBIMENTO LOJA 0 - ID: 17, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 5
[2025-04-07 13:51:07] RECEBIMENTO LOJA 0 - ID: 20, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 4, Posição Esteira Loja: 6
[2025-04-07 13:51:07] RECEBIMENTO LOJA 0 - ID: 22, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 2, Posição Esteira Loja: 7
[2025-04-07 13:51:08] RECEBIMENTO LOJA 0 - ID: 26, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Loja: 8
[2025-04-07 13:51:09] RECEBIMENTO LOJA 0 - ID: 27, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Loja: 9
[2025-04-07 13:51:10] RECEBIMENTO LOJA 0 - ID: 32, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 3, Posição Esteira Loja: 10
[2025-04-07 13:51:10] RECEBIMENTO LOJA 0 - ID: 34, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 2, Posição Esteira Loja: 11
[2025-04-07 13:51:11] RECEBIMENTO LOJA 0 - ID: 36, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Loja: 12
[2025-04-07 13:51:12] RECEBIMENTO LOJA 0 - ID: 37, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 13
[2025-04-07 13:51:12] RECEBIMENTO LOJA 0 - ID: 42, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira Loja: 14
[2025-04-07 13:51:13] RECEBIMENTO LOJA 0 - ID: 43, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Loja: 15
[2025-04-07 13:51:14] RECEBIMENTO LOJA 0 - ID: 45, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 16
[2025-04-07 13:51:14] RECEBIMENTO LOJA 0 - ID: 50, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Loja: 17
[2025-04-07 13:51:15] RECEBIMENTO LOJA 0 - ID: 51, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 0, Posição Esteira Loja: 18
[2025-04-07 13:51:16] RECEBIMENTO LOJA 0 - ID: 54, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Loja: 19
[2025-04-07 13:51:17] RECEBIMENTO LOJA 0 - ID: 59, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 4, Posição Esteira Loja: 20
[2025-04-07 13:51:17] RECEBIMENTO LOJA 0 - ID: 61, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 21
[2025-04-07 13:51:18] RECEBIMENTO LOJA 0 - ID: 65, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 22
[2025-04-07 13:51:19] RECEBIMENTO LOJA 0 - ID: 67, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 23
[2025-04-07 13:51:20] RECEBIMENTO LOJA 0 - ID: 71, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 3, Posição Esteira Loja: 24
[2025-04-07 13:51:20] RECEBIMENTO LOJA 0 - ID: 74, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Loja: 25
[2025-04-07 13:51:21] RECEBIMENTO LOJA 0 - ID: 75, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Loja: 26
[2025-04-07 13:51:22] RECEBIMENTO LOJA 0 - ID: 80, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 27
[2025-04-07 13:51:22] RECEBIMENTO LOJA 0 - ID: 82, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 28
[2025-04-07 13:51:23] RECEBIMENTO LOJA 0 - ID: 85, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 29
[2025-04-07 13:51:24] RECEBIMENTO LOJA 0 - ID: 86, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Loja: 30
[2025-04-07 13:51:24] RECEBIMENTO LOJA 0 - ID: 89, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Loja: 31
