[2025-04-07 13:51:02] VENDA LOJA 0 - ID: 8, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Loja: 0, Cliente: 10
[2025-04-07 13:51:03] VENDA LOJA 0 - ID: 2, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Loja: 1, Cliente: 15
[2025-04-07 13:51:04] VENDA LOJA 0 - ID: 6, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Loja: 2, Cliente: 9
[2025-04-07 13:51:04] VENDA LOJA 0 - ID: 16, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 3, Cliente: 11
[2025-04-07 13:51:05] VENDA LOJA 0 - ID: 11, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 4, Cliente: 5
[2025-04-07 13:51:06] VENDA LOJA 0 - ID: 17, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 5, Cliente: 8
[2025-04-07 13:51:07] VENDA LOJA 0 - ID: 20, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 4, Posição Esteira Loja: 6, Cliente: 15
[2025-04-07 13:51:07] VENDA LOJA 0 - ID: 22, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 2, Posição Esteira Loja: 7, Cliente: 18
[2025-04-07 13:51:08] VENDA LOJA 0 - ID: 26, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Loja: 8, Cliente: 12
[2025-04-07 13:51:09] VENDA LOJA 0 - ID: 27, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Loja: 9, Cliente: 6
[2025-04-07 13:51:10] VENDA LOJA 0 - ID: 32, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 3, Posição Esteira Loja: 10, Cliente: 11
[2025-04-07 13:51:10] VENDA LOJA 0 - ID: 34, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 2, Posição Esteira Loja: 11, Cliente: 4
[2025-04-07 13:51:12] VENDA LOJA 0 - ID: 36, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 1, Posição Esteira Loja: 12, Cliente: 15
[2025-04-07 13:51:12] VENDA LOJA 0 - ID: 37, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 13, Cliente: 10
[2025-04-07 13:51:12] VENDA LOJA 0 - ID: 42, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 1, Posição Esteira Loja: 14, Cliente: 0
[2025-04-07 13:51:13] VENDA LOJA 0 - ID: 43, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Loja: 15, Cliente: 13
[2025-04-07 13:51:14] VENDA LOJA 0 - ID: 45, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 16, Cliente: 16
[2025-04-07 13:51:14] VENDA LOJA 0 - ID: 50, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Loja: 17, Cliente: 13
[2025-04-07 13:51:15] VENDA LOJA 0 - ID: 51, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 0, Posição Esteira Loja: 18, Cliente: 1
[2025-04-07 13:51:16] VENDA LOJA 0 - ID: 54, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Loja: 19, Cliente: 5
[2025-04-07 13:51:17] VENDA LOJA 0 - ID: 59, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 4, Posição Esteira Loja: 20, Cliente: 9
[2025-04-07 13:51:17] VENDA LOJA 0 - ID: 61, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 21, Cliente: 11
[2025-04-07 13:51:18] VENDA LOJA 0 - ID: 65, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 22, Cliente: 3
[2025-04-07 13:51:19] VENDA LOJA 0 - ID: 67, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 23, Cliente: 19
[2025-04-07 13:51:20] VENDA LOJA 0 - ID: 71, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 3, Posição Esteira Loja: 24, Cliente: 14
[2025-04-07 13:51:20] VENDA LOJA 0 - ID: 74, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Loja: 25, Cliente: 4
[2025-04-07 13:51:21] VENDA LOJA 0 - ID: 75, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Loja: 26, Cliente: 17
