[2025-04-07 13:51:02] RECEBIMENTO LOJA 1 - ID: 3, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 0
[2025-04-07 13:51:03] RECEBIMENTO LOJA 1 - ID: 5, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 1
[2025-04-07 13:51:04] RECEBIMENTO LOJA 1 - ID: 13, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Loja: 2
[2025-04-07 13:51:05] RECEBIMENTO LOJA 1 - ID: 14, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Loja: 3
[2025-04-07 13:51:05] RECEBIMENTO LOJA 1 - ID: 9, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 4
[2025-04-07 13:51:06] RECEBIMENTO LOJA 1 - ID: 18, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Loja: 5
[2025-04-07 13:51:07] RECEBIMENTO LOJA 1 - ID: 21, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 6
[2025-04-07 13:51:08] RECEBIMENTO LOJA 1 - ID: 23, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Loja: 7
[2025-04-07 13:51:09] RECEBIMENTO LOJA 1 - ID: 30, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Loja: 8
[2025-04-07 13:51:10] RECEBIMENTO LOJA 1 - ID: 29, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 9
[2025-04-07 13:51:11] RECEBIMENTO LOJA 1 - ID: 33, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 10
[2025-04-07 13:51:12] RECEBIMENTO LOJA 1 - ID: 40, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Loja: 11
[2025-04-07 13:51:12] RECEBIMENTO LOJA 1 - ID: 41, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Loja: 12
[2025-04-07 13:51:13] RECEBIMENTO LOJA 1 - ID: 46, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 13
[2025-04-07 13:51:14] RECEBIMENTO LOJA 1 - ID: 47, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 14
[2025-04-07 13:51:15] RECEBIMENTO LOJA 1 - ID: 49, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 15
[2025-04-07 13:51:15] RECEBIMENTO LOJA 1 - ID: 53, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Loja: 16
[2025-04-07 13:51:16] RECEBIMENTO LOJA 1 - ID: 56, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira Loja: 17
[2025-04-07 13:51:16] RECEBIMENTO LOJA 1 - ID: 57, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 3, Posição Esteira Loja: 18
[2025-04-07 13:51:17] RECEBIMENTO LOJA 1 - ID: 60, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 4, Posição Esteira Loja: 19
[2025-04-07 13:51:18] RECEBIMENTO LOJA 1 - ID: 64, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 1, Posição Esteira Loja: 20
[2025-04-07 13:51:19] RECEBIMENTO LOJA 1 - ID: 66, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 21
[2025-04-07 13:51:19] RECEBIMENTO LOJA 1 - ID: 69, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 0, Posição Esteira Loja: 22
[2025-04-07 13:51:20] RECEBIMENTO LOJA 1 - ID: 73, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 0, Posição Esteira Loja: 23
[2025-04-07 13:51:21] RECEBIMENTO LOJA 1 - ID: 78, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 24
[2025-04-07 13:51:22] RECEBIMENTO LOJA 1 - ID: 77, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Loja: 25
[2025-04-07 13:51:22] RECEBIMENTO LOJA 1 - ID: 81, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 26
[2025-04-07 13:51:23] RECEBIMENTO LOJA 1 - ID: 84, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Loja: 27
[2025-04-07 13:51:24] RECEBIMENTO LOJA 1 - ID: 88, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Loja: 28
