[2025-04-07 13:51:02] VENDA LOJA 1 - ID: 3, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 0, Cliente: 12
[2025-04-07 13:51:03] VENDA LOJA 1 - ID: 5, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 1, Cliente: 3
[2025-04-07 13:51:04] VENDA LOJA 1 - ID: 13, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Loja: 2, Cliente: 0
[2025-04-07 13:51:05] VENDA LOJA 1 - ID: 14, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Loja: 3, Cliente: 18
[2025-04-07 13:51:05] VENDA LOJA 1 - ID: 9, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 4, Cliente: 2
[2025-04-07 13:51:06] VENDA LOJA 1 - ID: 18, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 4, Posição Esteira Loja: 5, Cliente: 4
[2025-04-07 13:51:07] VENDA LOJA 1 - ID: 21, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 6, Cliente: 19
[2025-04-07 13:51:08] VENDA LOJA 1 - ID: 23, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Loja: 7, Cliente: 17
[2025-04-07 13:51:09] VENDA LOJA 1 - ID: 30, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 0, Posição Esteira Loja: 8, Cliente: 16
[2025-04-07 13:51:10] VENDA LOJA 1 - ID: 29, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 9, Cliente: 9
[2025-04-07 13:51:11] VENDA LOJA 1 - ID: 33, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 0, Posição Esteira Loja: 10, Cliente: 14
[2025-04-07 13:51:12] VENDA LOJA 1 - ID: 40, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Loja: 11, Cliente: 3
[2025-04-07 13:51:12] VENDA LOJA 1 - ID: 41, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Loja: 12, Cliente: 19
[2025-04-07 13:51:13] VENDA LOJA 1 - ID: 46, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 13, Cliente: 1
[2025-04-07 13:51:14] VENDA LOJA 1 - ID: 47, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 14, Cliente: 2
[2025-04-07 13:51:15] VENDA LOJA 1 - ID: 49, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 15, Cliente: 15
[2025-04-07 13:51:15] VENDA LOJA 1 - ID: 53, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Loja: 16, Cliente: 12
[2025-04-07 13:51:16] VENDA LOJA 1 - ID: 56, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 0, Posição Esteira Loja: 17, Cliente: 7
[2025-04-07 13:51:16] VENDA LOJA 1 - ID: 57, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 3, Posição Esteira Loja: 18, Cliente: 18
[2025-04-07 13:51:17] VENDA LOJA 1 - ID: 60, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 4, Posição Esteira Loja: 19, Cliente: 4
[2025-04-07 13:51:18] VENDA LOJA 1 - ID: 64, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 1, Posição Esteira Loja: 20, Cliente: 0
[2025-04-07 13:51:19] VENDA LOJA 1 - ID: 66, Tipo: SUV, Cor: Vermelho, Estação: 2, Funcionário: 3, Posição Esteira Loja: 21, Cliente: 13
[2025-04-07 13:51:20] VENDA LOJA 1 - ID: 69, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 0, Posição Esteira Loja: 22, Cliente: 1
[2025-04-07 13:51:20] VENDA LOJA 1 - ID: 73, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 0, Posição Esteira Loja: 23, Cliente: 12
[2025-04-07 13:51:21] VENDA LOJA 1 - ID: 78, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 24, Cliente: 9
[2025-04-07 13:51:22] VENDA LOJA 1 - ID: 77, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Loja: 25, Cliente: 15
[2025-04-07 13:51:23] VENDA LOJA 1 - ID: 81, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 1, Posição Esteira Loja: 26, Cliente: 11
[2025-04-07 13:51:24] VENDA LOJA 1 - ID: 84, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Loja: 27, Cliente: 11
[2025-04-07 13:51:25] VENDA LOJA 1 - ID: 88, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Loja: 28, Cliente: 19
[2025-04-07 13:51:25] VENDA LOJA 1 - ID: 91, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 29, Cliente: 10
[2025-04-07 13:51:26] VENDA LOJA 1 - ID: 94, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 2, Posição Esteira Loja: 30, Cliente: 17
[2025-04-07 13:51:27] VENDA LOJA 1 - ID: 97, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 3, Posição Esteira Loja: 31, Cliente: 6
[2025-04-07 13:51:29] VENDA LOJA 1 - ID: 100, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Loja: 32, Cliente: 6
[2025-04-07 13:51:29] VENDA LOJA 1 - ID: 103, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 33, Cliente: 4
[2025-04-07 13:51:34] VENDA LOJA 1 - ID: 106, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Loja: 34, Cliente: 4
[2025-04-07 13:51:34] VENDA LOJA 1 - ID: 109, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 35, Cliente: 2
[2025-04-07 13:51:35] VENDA LOJA 1 - ID: 112, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Loja: 36, Cliente: 1
[2025-04-07 13:51:36] VENDA LOJA 1 - ID: 115, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Loja: 37, Cliente: 13
[2025-04-07 13:51:37] VENDA LOJA 1 - ID: 118, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Loja: 38, Cliente: 12
[2025-04-07 13:51:37] VENDA LOJA 1 - ID: 121, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 39, Cliente: 13
[2025-04-07 13:51:39] VENDA LOJA 1 - ID: 125, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 0, Cliente: 0
[2025-04-07 13:51:39] VENDA LOJA 1 - ID: 128, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 3, Posição Esteira Loja: 1, Cliente: 9
[2025-04-07 13:51:40] VENDA LOJA 1 - ID: 131, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 2, Cliente: 14
[2025-04-07 13:51:40] VENDA LOJA 1 - ID: 134, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Loja: 3, Cliente: 18
[2025-04-07 13:51:41] VENDA LOJA 1 - ID: 135, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Loja: 4, Cliente: 18
[2025-04-07 13:51:42] VENDA LOJA 1 - ID: 138, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 3, Posição Esteira Loja: 5, Cliente: 11
[2025-04-07 13:51:43] VENDA LOJA 1 - ID: 141, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Loja: 6, Cliente: 15
[2025-04-07 13:51:44] VENDA LOJA 1 - ID: 145, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 3, Posição Esteira Loja: 7, Cliente: 7
[2025-04-07 13:51:44] VENDA LOJA 1 - ID: 147, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Loja: 8, Cliente: 4
[2025-04-07 13:51:44] VENDA LOJA 1 - ID: 152, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 0, Posição Esteira Loja: 9, Cliente: 19
[2025-04-07 13:51:45] VENDA LOJA 1 - ID: 154, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 0, Posição Esteira Loja: 10, Cliente: 19
[2025-04-07 13:51:46] VENDA LOJA 1 - ID: 157, Tipo: SEDAN, Cor: Verde, Estação: 3, Funcionário: 4, Posição Esteira Loja: 11, Cliente: 12
[2025-04-07 13:51:49] VENDA LOJA 1 - ID: 161, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Loja: 12, Cliente: 6
[2025-04-07 13:51:49] VENDA LOJA 1 - ID: 164, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 1, Posição Esteira Loja: 13, Cliente: 9
[2025-04-07 13:51:49] VENDA LOJA 1 - ID: 166, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Loja: 14, Cliente: 5
[2025-04-07 13:51:51] VENDA LOJA 1 - ID: 167, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Loja: 15, Cliente: 2
