[2025-04-07 13:51:02] RECEBIMENTO LOJA 2 - ID: 7, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 2, Posição Esteira Loja: 0
[2025-04-07 13:51:03] RECEBIMENTO LOJA 2 - ID: 4, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Loja: 1
[2025-04-07 13:51:03] RECEBIMENTO LOJA 2 - ID: 1, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 2
[2025-04-07 13:51:04] RECEBIMENTO LOJA 2 - ID: 12, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Loja: 3
[2025-04-07 13:51:05] RECEBIMENTO LOJA 2 - ID: 10, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 4
[2025-04-07 13:51:06] RECEBIMENTO LOJA 2 - ID: 15, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Loja: 5
[2025-04-07 13:51:07] RECEBIMENTO LOJA 2 - ID: 19, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 6
[2025-04-07 13:51:07] RECEBIMENTO LOJA 2 - ID: 24, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Loja: 7
[2025-04-07 13:51:08] RECEBIMENTO LOJA 2 - ID: 25, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Loja: 8
[2025-04-07 13:51:09] RECEBIMENTO LOJA 2 - ID: 28, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 9
[2025-04-07 13:51:10] RECEBIMENTO LOJA 2 - ID: 31, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 10
[2025-04-07 13:51:11] RECEBIMENTO LOJA 2 - ID: 35, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Loja: 11
[2025-04-07 13:51:12] RECEBIMENTO LOJA 2 - ID: 39, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 12
[2025-04-07 13:51:12] RECEBIMENTO LOJA 2 - ID: 38, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 13
[2025-04-07 13:51:13] RECEBIMENTO LOJA 2 - ID: 44, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 14
[2025-04-07 13:51:14] RECEBIMENTO LOJA 2 - ID: 48, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Loja: 15
[2025-04-07 13:51:15] RECEBIMENTO LOJA 2 - ID: 52, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 16
[2025-04-07 13:51:16] RECEBIMENTO LOJA 2 - ID: 55, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Loja: 17
[2025-04-07 13:51:16] RECEBIMENTO LOJA 2 - ID: 58, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Loja: 18
[2025-04-07 13:51:17] RECEBIMENTO LOJA 2 - ID: 62, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 1, Posição Esteira Loja: 19
[2025-04-07 13:51:18] RECEBIMENTO LOJA 2 - ID: 63, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Loja: 20
[2025-04-07 13:51:19] RECEBIMENTO LOJA 2 - ID: 68, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Loja: 21
[2025-04-07 13:51:19] RECEBIMENTO LOJA 2 - ID: 70, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Loja: 22
[2025-04-07 13:51:20] RECEBIMENTO LOJA 2 - ID: 72, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Loja: 23
[2025-04-07 13:51:21] RECEBIMENTO LOJA 2 - ID: 76, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Loja: 24
[2025-04-07 13:51:22] RECEBIMENTO LOJA 2 - ID: 79, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 25
[2025-04-07 13:51:22] RECEBIMENTO LOJA 2 - ID: 83, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 26
[2025-04-07 13:51:23] RECEBIMENTO LOJA 2 - ID: 87, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 4, Posição Esteira Loja: 27
[2025-04-07 13:51:24] RECEBIMENTO LOJA 2 - ID: 90, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Loja: 28
[2025-04-07 13:51:25] RECEBIMENTO LOJA 2 - ID: 92, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 29
[2025-04-07 13:51:25] RECEBIMENTO LOJA 2 - ID: 95, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Loja: 30
[2025-04-07 13:51:26] RECEBIMENTO LOJA 2 - ID: 98, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Loja: 31
[2025-04-07 13:51:27] RECEBIMENTO LOJA 2 - ID: 101, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Loja: 32
[2025-04-07 13:51:28] RECEBIMENTO LOJA 2 - ID: 104, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 33
[2025-04-07 13:51:29] RECEBIMENTO LOJA 2 - ID: 108, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 3, Posição Esteira Loja: 34
[2025-04-07 13:51:29] RECEBIMENTO LOJA 2 - ID: 111, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 3, Posição Esteira Loja: 35
[2025-04-07 13:51:30] RECEBIMENTO LOJA 2 - ID: 113, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Loja: 36
[2025-04-07 13:51:31] RECEBIMENTO LOJA 2 - ID: 117, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 3, Posição Esteira Loja: 37
[2025-04-07 13:51:32] RECEBIMENTO LOJA 2 - ID: 119, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 4, Posição Esteira Loja: 38
[2025-04-07 13:51:32] RECEBIMENTO LOJA 2 - ID: 123, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Loja: 39
[2025-04-07 13:51:33] RECEBIMENTO LOJA 2 - ID: 127, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 0, Posição Esteira Loja: 0
[2025-04-07 13:51:34] RECEBIMENTO LOJA 2 - ID: 130, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 1
[2025-04-07 13:51:35] RECEBIMENTO LOJA 2 - ID: 133, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 0, Posição Esteira Loja: 2
[2025-04-07 13:51:36] RECEBIMENTO LOJA 2 - ID: 137, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Loja: 3
[2025-04-07 13:51:37] RECEBIMENTO LOJA 2 - ID: 140, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 4, Posição Esteira Loja: 4
[2025-04-07 13:51:38] RECEBIMENTO LOJA 2 - ID: 143, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 1, Posição Esteira Loja: 5
[2025-04-07 13:51:39] RECEBIMENTO LOJA 2 - ID: 146, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 4, Posição Esteira Loja: 6
[2025-04-07 13:51:40] RECEBIMENTO LOJA 2 - ID: 150, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Loja: 7
