[2025-04-07 13:51:02] VENDA LOJA 2 - ID: 7, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 2, Posição Esteira Loja: 0, Cliente: 13
[2025-04-07 13:51:03] VENDA LOJA 2 - ID: 4, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 1, Posição Esteira Loja: 1, Cliente: 6
[2025-04-07 13:51:03] VENDA LOJA 2 - ID: 1, Tipo: SEDAN, Cor: Verde, Estação: 2, Funcionário: 1, Posição Esteira Loja: 2, Cliente: 16
[2025-04-07 13:51:04] VENDA LOJA 2 - ID: 12, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 2, Posição Esteira Loja: 3, Cliente: 14
[2025-04-07 13:51:05] VENDA LOJA 2 - ID: 10, Tipo: SUV, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 4, Cliente: 7
[2025-04-07 13:51:06] VENDA LOJA 2 - ID: 15, Tipo: SEDAN, Cor: Vermelho, Estação: 2, Funcionário: 2, Posição Esteira Loja: 5, Cliente: 1
[2025-04-07 13:51:07] VENDA LOJA 2 - ID: 19, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 6, Cliente: 10
[2025-04-07 13:51:07] VENDA LOJA 2 - ID: 24, Tipo: SUV, Cor: Vermelho, Estação: 3, Funcionário: 1, Posição Esteira Loja: 7, Cliente: 0
[2025-04-07 13:51:08] VENDA LOJA 2 - ID: 25, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 4, Posição Esteira Loja: 8, Cliente: 7
[2025-04-07 13:51:09] VENDA LOJA 2 - ID: 28, Tipo: SUV, Cor: Verde, Estação: 3, Funcionário: 3, Posição Esteira Loja: 9, Cliente: 13
[2025-04-07 13:51:10] VENDA LOJA 2 - ID: 31, Tipo: SEDAN, Cor: Verde, Estação: 0, Funcionário: 2, Posição Esteira Loja: 10, Cliente: 5
[2025-04-07 13:51:11] VENDA LOJA 2 - ID: 35, Tipo: SEDAN, Cor: Azul, Estação: 3, Funcionário: 2, Posição Esteira Loja: 11, Cliente: 2
[2025-04-07 13:51:12] VENDA LOJA 2 - ID: 39, Tipo: SEDAN, Cor: Vermelho, Estação: 3, Funcionário: 4, Posição Esteira Loja: 12, Cliente: 8
[2025-04-07 13:51:12] VENDA LOJA 2 - ID: 38, Tipo: SUV, Cor: Azul, Estação: 0, Funcionário: 3, Posição Esteira Loja: 13, Cliente: 4
[2025-04-07 13:51:14] VENDA LOJA 2 - ID: 44, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 14, Cliente: 17
[2025-04-07 13:51:14] VENDA LOJA 2 - ID: 48, Tipo: SUV, Cor: Vermelho, Estação: 1, Funcionário: 0, Posição Esteira Loja: 15, Cliente: 9
[2025-04-07 13:51:15] VENDA LOJA 2 - ID: 52, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 3, Posição Esteira Loja: 16, Cliente: 6
[2025-04-07 13:51:16] VENDA LOJA 2 - ID: 55, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Loja: 17, Cliente: 14
[2025-04-07 13:51:16] VENDA LOJA 2 - ID: 58, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 4, Posição Esteira Loja: 18, Cliente: 8
[2025-04-07 13:51:17] VENDA LOJA 2 - ID: 62, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 1, Posição Esteira Loja: 19, Cliente: 10
[2025-04-07 13:51:18] VENDA LOJA 2 - ID: 63, Tipo: SEDAN, Cor: Vermelho, Estação: 1, Funcionário: 2, Posição Esteira Loja: 20, Cliente: 18
[2025-04-07 13:51:19] VENDA LOJA 2 - ID: 68, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 0, Posição Esteira Loja: 21, Cliente: 8
[2025-04-07 13:51:19] VENDA LOJA 2 - ID: 70, Tipo: SUV, Cor: Verde, Estação: 2, Funcionário: 0, Posição Esteira Loja: 22, Cliente: 5
[2025-04-07 13:51:20] VENDA LOJA 2 - ID: 72, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Loja: 23, Cliente: 16
[2025-04-07 13:51:21] VENDA LOJA 2 - ID: 76, Tipo: SUV, Cor: Verde, Estação: 1, Funcionário: 1, Posição Esteira Loja: 24, Cliente: 15
[2025-04-07 13:51:22] VENDA LOJA 2 - ID: 79, Tipo: SEDAN, Cor: Verde, Estação: 1, Funcionário: 4, Posição Esteira Loja: 25, Cliente: 2
[2025-04-07 13:51:22] VENDA LOJA 2 - ID: 83, Tipo: SEDAN, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 26, Cliente: 7
[2025-04-07 13:51:23] VENDA LOJA 2 - ID: 87, Tipo: SEDAN, Cor: Vermelho, Estação: 0, Funcionário: 4, Posição Esteira Loja: 27, Cliente: 1
[2025-04-07 13:51:24] VENDA LOJA 2 - ID: 90, Tipo: SUV, Cor: Vermelho, Estação: 0, Funcionário: 2, Posição Esteira Loja: 28, Cliente: 9
[2025-04-07 13:51:25] VENDA LOJA 2 - ID: 92, Tipo: SUV, Cor: Azul, Estação: 3, Funcionário: 0, Posição Esteira Loja: 29, Cliente: 18
[2025-04-07 13:51:25] VENDA LOJA 2 - ID: 95, Tipo: SEDAN, Cor: Azul, Estação: 2, Funcionário: 2, Posição Esteira Loja: 30, Cliente: 2
[2025-04-07 13:51:26] VENDA LOJA 2 - ID: 98, Tipo: SUV, Cor: Azul, Estação: 2, Funcionário: 4, Posição Esteira Loja: 31, Cliente: 3
[2025-04-07 13:51:27] VENDA LOJA 2 - ID: 101, Tipo: SEDAN, Cor: Azul, Estação: 0, Funcionário: 1, Posição Esteira Loja: 32, Cliente: 17
[2025-04-07 13:51:28] VENDA LOJA 2 - ID: 104, Tipo: SUV, Cor: Azul, Estação: 1, Funcionário: 2, Posição Esteira Loja: 33, Cliente: 3
